product_name,category
חלב תנובה 3%,מוצרי חלב וביצים
גבינה לבנה שטראוס,מוצרי חלב וביצים
קוטג' תנובה,מוצרי חלב וביצים
יוגורט דנונה,מוצרי חלב וביצים
חמאה הולנדית,מוצרי חלב וביצים
עגבניה,פירות וירקות
מלפפון,פירות וירקות
בצל יבש,פירות וירקות
תפוח אדמה,פירות וירקות
בננה,פירות וירקות
חזה עוף טרי,בשר ודגים
בשר טחון בקר,בשר ודגים
פילה סלמון קפוא,בשר ודגים
צ'יפס קפוא,קפואים
פיצה משפחתית קפואה,קפואים
לחם אחיד פרוס,מאפה ולחם
פיתות,מאפה ולחם
חלה לשבת,מאפה ולחם
טונה בשמן,שימורים ובישול
אורז פרסי,שימורים ובישול
פסטה פנונה,שימורים ובישול
במבה אסם,חטיפים ומתוקים
ביסלי גריל,חטיפים ומתוקים
שוקולד פרה,חטיפים ומתוקים
קוקה קולה,משקאות
מים מינרליים נביעות,משקאות
אקונומיקה סנו,ניקיון
נוזל כלים פיירי,ניקיון
שמפו פינוק,טיפוח ופארם
משחת שיניים קולגייט,טיפוח ופארם
